id1,id2,score
7564,30949,0.96335768699646
42773,61352,0.9633344411849976
22351,56056,0.9631844162940979
10841,79500,0.9631631374359131
51406,99221,0.9631547927856445
52016,79014,0.9631023406982422
34218,52221,0.963044285774231
58899,103520,0.9630134105682373
64192,92755,0.9628247022628784
8826,45976,0.9627384543418884
51026,111735,0.9627243876457214
22880,112901,0.962691605091095
56826,108876,0.9626569747924805
53929,116137,0.9626539945602417
21037,117038,0.9626443386077881
51472,117038,0.9626345634460449
51448,57429,0.9625788927078247
33743,46876,0.962570309638977
28398,41215,0.9623818397521973
34449,43219,0.9622420072555542
7246,46475,0.9621708393096924
27328,30930,0.961958646774292
41215,111009,0.9618575572967529
47047,54987,0.9617613554000854
29294,46586,0.9616348743438721
12807,57142,0.9616084098815918
46418,52337,0.9615911245346069
58787,88465,0.9615886807441711
20931,45540,0.9615627527236938
24488,30306,0.9615445137023926
28387,112418,0.9614711403846741
9200,34169,0.9614652395248413
10261,61312,0.9614313840866089
33907,47011,0.9613797068595886
47235,91964,0.9613769054412842
42437,79932,0.9611760973930359
34431,47411,0.9611434936523438
53881,116010,0.961103081703186
10511,88465,0.9610952138900757
45168,50647,0.9610814452171326
21932,52984,0.9609081745147705
40310,91814,0.9607946872711182
77763,93565,0.960792064666748
3004,92792,0.9607553482055664
22649,55729,0.9607449173927307
11847,43452,0.9606795310974121
44748,58264,0.9606775641441345
22410,57391,0.9606757760047913
105303,111388,0.9605158567428589
27165,30388,0.9603050947189331
10403,80129,0.9602981209754944
12114,112154,0.9602859020233154
13214,57861,0.9601360559463501
7593,116727,0.9601328372955322
56484,116471,0.9600719213485718
33417,46655,0.9599882960319519
78873,88619,0.9599673748016357
6797,21427,0.9599369168281555
83072,110951,0.9598456621170044
63314,90939,0.9598442316055298
51745,59031,0.9597902297973633
22875,83186,0.9597393870353699
30281,58068,0.9596973657608032
42011,46522,0.9596689939498901
8809,51356,0.9594945907592773
110859,116464,0.9594563245773315
4097,47144,0.9594225883483887
52839,116604,0.9594130516052246
5901,53256,0.9593976736068726
43756,47643,0.9593524932861328
52839,56298,0.9593058824539185
20638,59351,0.9592012166976929
30782,59402,0.9591625928878784
7819,41671,0.9591422080993652
22336,51385,0.9589845538139343
31702,56742,0.9589687585830688
24488,59085,0.9589599370956421
24488,84132,0.9589599370956421
8297,57331,0.9588890075683594
111797,115907,0.9588414430618286
33578,116230,0.9588105082511902
24488,53752,0.9587975740432739
64623,86306,0.9587929248809814
20117,29909,0.9587830901145935
18418,112132,0.9587712287902832
51630,55799,0.9587084650993347
667,110918,0.9586849212646484
31856,51409,0.9585941433906555
53165,58293,0.958571195602417
26778,116775,0.9584875702857971
11988,86031,0.9584277868270874
51067,59849,0.9583773612976074
32350,92416,0.9583743810653687
45093,59990,0.9583446979522705
63318,86027,0.9583089351654053
46453,55889,0.9582953453063965
21175,116892,0.9582740068435669
21554,46476,0.9581125974655151
51698,56536,0.958099901676178
8645,22449,0.9580811262130737
6823,58856,0.9580119848251343
5421,63314,0.9580073356628418
21126,56147,0.9579895734786987
